STAID,CLASS
01011000,Non-ref
01013500,Ref
01015800,Non-ref
01016500,Non-ref
01017000,Non-ref
01017060,Non-ref
01017290,Non-ref
01017550,Ref
01017960,Non-ref
01018000,Non-ref
01018009,Non-ref
01019000,Non-ref
01021200,Non-ref
01021470,Ref
01021480,Ref
01021500,Non-ref
01022260,Ref
01022330,Ref
01022500,Ref
01023000,Ref
01027200,Ref
01029200,Ref
01029500,Non-ref
01030000,Non-ref
01030500,Ref
01031300,Ref
01031450,Non-ref
01031500,Ref
01031510,Ref
01033000,Non-ref
01033500,Ref
01034000,Non-ref
01034500,Non-ref
01035000,Non-ref
01036500,Non-ref
01037380,Ref
01038000,Non-ref
01041000,Non-ref
01042500,Non-ref
01043500,Non-ref
01044550,Ref
01045000,Non-ref
01046000,Ref
01046500,Non-ref
01047000,Ref
01047150,Non-ref
01047200,Ref
01048000,Non-ref
01048220,Ref
01049000,Non-ref
01049265,Non-ref
01049500,Non-ref
01052500,Ref
01053500,Non-ref
01053600,Non-ref
01054000,Non-ref
01054200,Ref
01054300,Ref
01054500,Non-ref
01055000,Ref
01055500,Non-ref
01057000,Ref
01058500,Non-ref
01059000,Non-ref
01059800,Non-ref
01060000,Non-ref
01064000,Non-ref
01064118,Non-ref
01064300,Ref
01064400,Ref
01064500,Non-ref
01064801,Ref
01065000,Non-ref
01065500,Non-ref
01066000,Non-ref
01066500,Non-ref
01067950,Ref
01068910,Non-ref
01069500,Non-ref
01069700,Non-ref
01072500,Non-ref
01072800,Non-ref
01072870,Non-ref
01073000,Ref
01073319,Non-ref
01073500,Non-ref
010735562,Non-ref
01073587,Non-ref
01073600,Non-ref
01073785,Non-ref
01074520,Ref
01075000,Non-ref
01075800,Ref
01076000,Non-ref
01076500,Non-ref
01077000,Non-ref
01077400,Ref
01078000,Ref
01081000,Non-ref
01081500,Non-ref
01082000,Non-ref
01083000,Non-ref
01084000,Non-ref
01084500,Ref
01085000,Non-ref
01085500,Non-ref
01085800,Ref
01086000,Ref
01087000,Non-ref
01088000,Non-ref
01089000,Non-ref
01089100,Non-ref
01089500,Non-ref
01090800,Non-ref
01091000,Ref
01091500,Non-ref
01092000,Non-ref
01093000,Non-ref
01093800,Ref
01093852,Non-ref
01094000,Non-ref
01094400,Non-ref
01094500,Non-ref
01095220,Non-ref
01095375,Non-ref
01095505,Non-ref
01096000,Non-ref
01096500,Non-ref
01096503,Ref
010965852,Non-ref
010965995,Non-ref
01096835,Non-ref
01096840,Non-ref
01096885,Non-ref
01097000,Non-ref
01097300,Non-ref
01097380,Non-ref
01097480,Non-ref
01098530,Non-ref
01099500,Non-ref
01100000,Non-ref
01100505,Non-ref
01100561,Non-ref
01100600,Non-ref
01100627,Non-ref
01101000,Non-ref
01101344,Non-ref
01101500,Non-ref
01102000,Non-ref
01102345,Non-ref
01102500,Non-ref
01103025,Non-ref
01103220,Non-ref
01103280,Non-ref
01103455,Non-ref
01103500,Non-ref
01104200,Non-ref
01104430,Non-ref
01104460,Non-ref
01104475,Non-ref
01104500,Non-ref
01105000,Non-ref
01105500,Non-ref
01105554,Non-ref
011055566,Non-ref
01105583,Non-ref
01105585,Non-ref
01105600,Non-ref
01105638,Non-ref
01105730,Non-ref
01105870,Non-ref
011058756,Non-ref
01105876,Non-ref
01105880,Non-ref
01105917,Non-ref
01105933,Non-ref
01106000,Non-ref
01106500,Non-ref
01108000,Non-ref
01108320,Non-ref
01108410,Non-ref
01108500,Non-ref
01109000,Non-ref
01109060,Non-ref
01109070,Non-ref
01109090,Ref
01109220,Non-ref
01109403,Non-ref
01109500,Non-ref
01109730,Non-ref
01110000,Non-ref
01110500,Non-ref
01111050,Non-ref
01111200,Non-ref
01111212,Non-ref
01111225,Non-ref
01111300,Non-ref
01111500,Non-ref
01112500,Non-ref
01113695,Non-ref
01113895,Non-ref
01114000,Non-ref
01114500,Non-ref
01115098,Non-ref
01115187,Non-ref
01115630,Ref
01115670,Ref
01115770,Ref
01116000,Non-ref
01116500,Non-ref
01116905,Non-ref
01117000,Non-ref
01117350,Non-ref
01117370,Ref
01117420,Non-ref
01117430,Non-ref
01117468,Ref
01117500,Non-ref
01117800,Ref
01118000,Non-ref
01118300,Ref
01118500,Non-ref
01119384,Non-ref
01119500,Non-ref
01120000,Non-ref
01120500,Ref
01121000,Ref
01122000,Non-ref
01122500,Non-ref
01123000,Ref
011230695,Non-ref
01123360,Non-ref
01123600,Non-ref
01124000,Non-ref
01124151,Non-ref
01124350,Non-ref
01124500,Non-ref
01125000,Non-ref
01125100,Non-ref
01125500,Non-ref
01126000,Non-ref
01126500,Non-ref
01127000,Non-ref
01127500,Non-ref
01127880,Ref
01128500,Non-ref
01129200,Non-ref
01130000,Ref
01133000,Non-ref
01134500,Ref
01135000,Ref
01135150,Ref
01135300,Ref
01135500,Non-ref
01137500,Ref
01138000,Ref
01139000,Ref
01139800,Ref
01141500,Non-ref
01141800,Ref
01142500,Ref
01144000,Ref
01145000,Ref
01150500,Non-ref
01150900,Ref
01151500,Non-ref
01152500,Non-ref
01153000,Non-ref
01153500,Ref
01153550,Non-ref
01154000,Ref
01154500,Non-ref
01155000,Ref
01155500,Non-ref
01155910,Non-ref
01156000,Non-ref
01156500,Non-ref
01157000,Non-ref
01158000,Non-ref
01158600,Non-ref
01160000,Non-ref
01160350,Non-ref
01161000,Non-ref
01161500,Non-ref
01162000,Non-ref
01162500,Ref
01163200,Non-ref
01164000,Non-ref
01165000,Non-ref
01165500,Ref
01166500,Non-ref
01168151,Non-ref
01168500,Non-ref
01169000,Ref
01169900,Non-ref
01170000,Non-ref
01170100,Ref
01170500,Non-ref
01170930,Ref
01171300,Non-ref
01171500,Non-ref
01172500,Non-ref
01173000,Non-ref
01173500,Non-ref
01174000,Ref
01174500,Non-ref
01174565,Ref
01174600,Ref
01174900,Ref
01175500,Non-ref
01175670,Non-ref
01176000,Non-ref
01176780,Ref
01177000,Non-ref
01179500,Non-ref
01180000,Ref
01180500,Non-ref
01181000,Ref
01183500,Non-ref
01184000,Non-ref
01184100,Non-ref
01184490,Non-ref
01184500,Non-ref
01185500,Non-ref
