site_no,has_lowflow,max_lowflow_duration,max_run_cv,threshold_cfs,record_days
01105585,False,0,,1.3,15129
01105600,False,0,,0.79,21785
01105606,False,0,,1.3,8386
01105608,False,0,,1.085,8816
01105638,False,0,,1.53,5370
01105730,False,0,,7.84,21764
01105870,False,0,,9.3,21711
01105876,False,0,,22.7,5785
0110587880,False,0,,5.206,484
01105880,False,0,,2.5,14838
0110588332,False,0,,2.0420000000000003,1533
0110588364,False,0,,4.7540000000000004,950
011058837,True,71,0.1026,12.0,13648
01105895,False,0,,,0
01105917,False,0,,1.79,5414
01105933,False,0,,3.4070000000000005,11088
01106000,False,0,,0.3,14315
01108000,False,0,,72.0,28869
01108410,False,0,,7.674000000000001,7333
01109000,False,0,,6.6,36767
01109060,False,0,,20.0,21765
01109070,False,0,,0.39,21585
01109403,False,0,,25.0,14374
01109730,False,0,,54.0,8622
01110000,False,0,,5.4,31536
01110500,False,0,,76.0,16735
01111212,False,0,,103.0,7128
01111300,False,0,,1.65,21860
01111500,False,0,,26.0,31431
01112500,False,0,,160.0,35394
01113895,False,0,,186.0,7839
01114000,False,0,,8.1,22696
01114500,False,0,,15.44000000000001,30895
01115098,False,0,,0.47,11557
01115110,False,0,,0.15,6333
01115114,False,0,,0.05,6331
01115170,False,0,,0.26,6341
01115183,False,0,,0.14,6339
01115185,False,0,,0.14,1961
01115187,False,0,,1.09,11644
01115190,False,0,,0.4,6334
01115265,False,0,,0.73,6330
01115276,False,0,,1.94,6342
01115278,False,0,,0.15,1927
01115280,False,0,,0.06,6333
01115297,False,0,,0.71,2206
01115500,False,0,,51.0,3561
01115630,False,0,,3.3,13415
01115770,False,0,,2.1,7899
01116000,False,0,,30.0,31180
01092000,False,0,,1220.0,32590
01093852,False,0,,15.4,6992
01094000,True,81,0.1085,32.0,33423
01094400,False,0,,18.0,19468
01094500,False,0,,47.0,32997
01095220,False,0,,3.59,11585
01095375,False,0,,5.855999999999999,10639
01095434,True,60,0.1152,0.92,5240
01095503,False,0,,5.34,5335
01096000,False,0,,14.7,27877
01096500,False,0,,106.0,33007
010965852,False,0,,5.5,14342
01097000,False,0,,27.0,30872
01097300,False,0,,1.1,22821
